start,end,position,line,text
00:00:29.113,00:00:29.213,-1,0,"<1></c><3>「ま</c><2>ってたShowTime</c><3>」</c><2>だれかがかたる</c><1></c>"
00:00:29.113,00:00:29.213,-1,-1,"<1></c><3>「待</c><2>ってたShowTime</c><3>」</c><2>誰かが語る</c><1></c>"
00:00:29.213,00:00:29.313,-1,0,"<1></c><3>「まっ</c><2>てたShowTime</c><3>」</c><2>だれかがかたる</c><1></c>"
00:00:29.213,00:00:29.313,-1,-1,"<1></c><3>「待っ</c><2>てたShowTime</c><3>」</c><2>誰かが語る</c><1></c>"
00:00:29.313,00:00:29.413,-1,0,"<1></c><3>「まって</c><2>たShowTime</c><3>」</c><2>だれかがかたる</c><1></c>"
00:00:29.313,00:00:29.413,-1,-1,"<1></c><3>「待って</c><2>たShowTime</c><3>」</c><2>誰かが語る</c><1></c>"
00:00:29.413,00:00:29.580,-1,0,"<1></c><3>「まってた</c><2>ShowTime</c><3>」</c><2>だれかがかたる</c><1></c>"
00:00:29.413,00:00:29.580,-1,-1,"<1></c><3>「待ってた</c><2>ShowTime</c><3>」</c><2>誰かが語る</c><1></c>"
00:00:29.580,00:00:29.880,-1,0,"<1></c><3>「まってたShow</c><2>Time</c><3>」</c><2>だれかがかたる</c><1></c>"
00:00:29.580,00:00:29.880,-1,-1,"<1></c><3>「待ってたShow</c><2>Time</c><3>」</c><2>誰かが語る</c><1></c>"
00:00:29.880,00:00:30.814,-1,0,"<1></c><3>「まってたShowTime」</c><2>だれかがかたる</c><1></c>"
00:00:29.880,00:00:30.814,-1,-1,"<1></c><3>「待ってたShowTime」</c><2>誰かが語る</c><1></c>"
00:00:30.814,00:00:30.914,-1,0,"<1></c><3>「まってたShowTime」だ</c><2>れかがかたる</c><1></c>"
00:00:30.814,00:00:30.914,-1,-1,"<1></c><3>「待ってたShowTime」誰</c><2>かが語る</c><1></c>"
00:00:30.914,00:00:31.015,-1,0,"<1></c><3>「まってたShowTime」だれ</c><2>かがかたる</c><1></c>"
00:00:30.914,00:00:31.015,-1,-1,"<1></c><3>「待ってたShowTime」誰</c><2>かが語る</c><1></c>"
00:00:31.015,00:00:31.115,-1,0,"<1></c><3>「まってたShowTime」だれか</c><2>がかたる</c><1></c>"
00:00:31.015,00:00:31.115,-1,-1,"<1></c><3>「待ってたShowTime」誰か</c><2>が語る</c><1></c>"
00:00:31.115,00:00:31.248,-1,0,"<1></c><3>「まってたShowTime」だれかが</c><2>かたる</c><1></c>"
00:00:31.115,00:00:31.248,-1,-1,"<1></c><3>「待ってたShowTime」誰かが</c><2>語る</c><1></c>"
00:00:31.248,00:00:31.448,-1,0,"<1></c><3>「まってたShowTime」だれかがか</c><2>たる</c><1></c>"
00:00:31.248,00:00:31.448,-1,-1,"<1></c><3>「待ってたShowTime」誰かが語</c><2>る</c><1></c>"
00:00:31.448,00:00:31.548,-1,0,"<1></c><3>「まってたShowTime」だれかがかた</c><2>る</c><1></c>"
00:00:31.448,00:00:31.548,-1,-1,"<1></c><3>「待ってたShowTime」誰かが語</c><2>る</c><1></c>"
00:00:31.548,00:00:32.483,-1,0,"<1></c><3>「まってたShowTime」だれかがかたる</c><1></c>"
00:00:31.548,00:00:32.483,-1,-1,"<1></c><3>「待ってたShowTime」誰かが語る</c><1></c>"
00:00:32.483,00:00:32.583,-1,0,"<1></c><3>ど</c><2>うでもいいようなかおをみせてよね</c><1></c>"
00:00:32.483,00:00:32.583,-1,-1,"<1></c><3>ど</c><2>うでもいいような顔を見せてよね</c><1></c>"
00:00:32.583,00:00:32.683,-1,0,"<1></c><3>どう</c><2>でもいいようなかおをみせてよね</c><1></c>"
00:00:32.583,00:00:32.683,-1,-1,"<1></c><3>どう</c><2>でもいいような顔を見せてよね</c><1></c>"
00:00:32.683,00:00:32.783,-1,0,"<1></c><3>どうで</c><2>もいいようなかおをみせてよね</c><1></c>"
00:00:32.683,00:00:32.783,-1,-1,"<1></c><3>どうで</c><2>もいいような顔を見せてよね</c><1></c>"
00:00:32.783,00:00:32.916,-1,0,"<1></c><3>どうでも</c><2>いいようなかおをみせてよね</c><1></c>"
00:00:32.783,00:00:32.916,-1,-1,"<1></c><3>どうでも</c><2>いいような顔を見せてよね</c><1></c>"
00:00:32.916,00:00:33.017,-1,0,"<1></c><3>どうでもい</c><2>いようなかおをみせてよね</c><1></c>"
00:00:32.916,00:00:33.017,-1,-1,"<1></c><3>どうでもい</c><2>いような顔を見せてよね</c><1></c>"
00:00:33.017,00:00:33.117,-1,0,"<1></c><3>どうでもいい</c><2>ようなかおをみせてよね</c><1></c>"
00:00:33.017,00:00:33.117,-1,-1,"<1></c><3>どうでもいい</c><2>ような顔を見せてよね</c><1></c>"
