Character,File Numbers
デ,"{1, 2, 3, 5, 10, 12, 16, 18, 19, 26, 27, 31, 32, 38, 40, 48, 50, 51, 60, 66, 68, 70, 73, 75, 77, 82, 92}"
ポ,"{1, 16, 18, 25, 36, 41, 45, 48, 49, 50, 51, 53, 54, 92}"
パ,"{1, 2, 8, 12, 13, 14, 15, 18, 33, 34, 37, 39, 43, 46, 51, 52, 56, 57, 58, 59, 60, 64, 67, 68, 76, 77, 80, 86, 90}"
ノ,"{1, 10, 16, 19, 25, 31, 32, 33, 43, 45, 47, 54, 56, 57, 59, 70, 79, 85, 92}"
ィ,"{1, 2, 3, 5, 10, 12, 15, 16, 40, 42, 53, 54, 57, 59, 60, 64, 67, 68, 76, 82, 86, 90, 92}"
ト,"{1, 2, 3, 4, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 22, 25, 26, 28, 29, 30, 31, 32, 33, 37, 38, 39, 40, 41, 42, 44, 45, 46, 47, 48, 49, 51, 52, 54, 56, 58, 60, 62, 64, 66, 67, 68, 70, 73, 75, 77, 78, 81, 82, 83, 84, 85, 87, 91, 92}"
ガ,"{1, 12, 26, 42, 49, 51, 59, 66, 68, 77, 79, 85, 92}"
カ,"{1, 3, 8, 12, 13, 14, 16, 17, 19, 20, 22, 25, 27, 30, 34, 36, 38, 42, 45, 47, 48, 49, 50, 51, 53, 54, 56, 57, 60, 62, 65, 68, 73, 74, 77, 79, 83, 87, 90, 92}"
オ,"{1, 3, 7, 15, 18, 19, 26, 33, 34, 37, 40, 42, 54, 57, 66, 68, 69, 77, 80, 81, 82}"
ダ,"{1, 7, 8, 11, 15, 21, 32, 42, 49, 50, 54, 56, 57, 60, 67, 68, 76, 77, 83, 85, 90}"
ツ,"{2, 7, 10, 14, 33, 36, 42, 54, 57, 67, 68, 77, 90, 92}"
シ,"{2, 3, 8, 12, 13, 14, 16, 17, 18, 19, 21, 25, 27, 31, 32, 33, 40, 50, 51, 52, 54, 56, 57, 60, 62, 67, 68, 70, 73, 76, 77, 82, 87}"
ョ,"{2, 3, 8, 12, 14, 16, 19, 25, 27, 49, 50, 51, 52, 54, 57, 60, 62, 73, 77, 90}"
ム,"{2, 9, 12, 13, 19, 29, 38, 40, 42, 48, 49, 50, 51, 52, 56, 57, 59, 60, 62, 68, 70, 71, 72, 73, 79, 84, 85, 86, 92}"
ュ,"{2, 3, 4, 5, 12, 19, 21, 24, 25, 38, 41, 62, 66, 73, 75, 76, 77, 82, 91, 92}"
ャ,"{2, 3, 8, 11, 15, 16, 17, 18, 21, 33, 36, 49, 52, 56, 59, 60, 68, 76, 77, 79, 82, 86, 92}"
ヒ,"{2, 3, 31, 32, 54, 70, 73, 76, 77, 78}"
チ,"{3, 10, 12, 15, 19, 21, 33, 34, 36, 40, 42, 46, 49, 56, 57, 60, 62, 68, 75, 77, 79, 82, 85, 86, 90}"
ギ,"{3, 32, 41, 42, 51, 59, 92}"
