Character,File Numbers
世,"{0, 4, 11, 13, 16, 17, 19, 20, 21, 23, 24, 26, 31, 33, 34, 36, 39, 40, 42, 45, 49, 50, 51, 54, 58, 59, 60, 61, 64, 65, 68, 69, 70, 72, 75, 80, 81, 82, 83, 85, 88, 92}"
意,"{0, 6, 7, 12, 16, 17, 21, 23, 26, 30, 35, 36, 37, 47, 49, 53, 56, 59, 62, 67, 68, 73, 87, 91, 92}"
味,"{0, 4, 16, 17, 18, 21, 23, 26, 30, 35, 36, 37, 42, 53, 56, 62, 67, 77, 79, 87, 91, 92}"
絶,"{0, 8, 12, 15, 26, 32, 35, 36, 43, 44, 50, 51, 68, 74}"
対,"{0, 12, 15, 19, 20, 38, 44, 50, 59, 62}"
子,"{1, 4, 9, 10, 12, 15, 26, 31, 32, 35, 39, 40, 45, 47, 48, 50, 51, 54, 56, 57, 58, 64, 67, 68, 70, 76, 77, 78, 81, 84, 85, 90, 91, 92}"
例,{1}
来,"{1, 4, 8, 11, 12, 13, 15, 17, 23, 24, 31, 33, 36, 38, 39, 40, 41, 42, 43, 44, 45, 46, 48, 49, 50, 51, 53, 58, 60, 64, 65, 68, 69, 70, 75, 81, 82, 87, 91, 92}"
組,"{1, 42}"
立,"{1, 6, 10, 11, 17, 19, 24, 26, 31, 41, 47, 57, 70, 84, 90}"
式,"{1, 19, 76}"
最,"{1, 2, 15, 17, 19, 21, 25, 26, 36, 50, 57, 67, 86, 89, 90}"
端,"{1, 25, 59}"
損,{1}
止,"{1, 4, 5, 6, 8, 16, 22, 29, 31, 35, 36, 38, 39, 41, 45, 46, 53, 58, 63, 64, 65, 68, 70, 72, 75, 81, 83, 84, 89, 91}"
巻,"{1, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 42, 43, 44, 45, 52}"
鳴,"{1, 4, 8, 17, 19, 22, 25, 26, 29, 35, 36, 62, 68, 72, 84, 92}"
製,"{1, 42}"
造,"{1, 54}"
足,"{1, 3, 4, 6, 16, 18, 37, 41, 44, 45, 50, 52, 57, 63, 90}"
元,"{1, 2, 10, 12, 19, 50}"
呪,{1}
祓,{1}
則,{1}
解,"{1, 18, 19, 37, 47, 51, 60, 91}"
手,"{1, 2, 3, 4, 6, 13, 14, 16, 18, 22, 25, 31, 33, 35, 36, 37, 41, 42, 44, 45, 50, 53, 54, 57, 59, 61, 63, 65, 67, 68, 69, 70, 75, 76, 79, 81, 85, 87, 90, 92}"
病,"{1, 12, 15, 45, 83, 88}"
笑,"{1, 2, 3, 6, 7, 8, 9, 11, 12, 14, 17, 26, 28, 30, 32, 35, 36, 38, 41, 42, 43, 48, 50, 51, 52, 54, 55, 56, 60, 61, 63, 73, 76, 77, 79, 82, 83, 86, 91}"
起,"{1, 18, 46, 73}"
電,"{1, 33, 46, 67, 73}"
羊,"{1, 4, 11, 47}"
前,"{1, 12, 17, 21, 24, 26, 30, 35, 36, 43, 44, 45, 59, 62, 65, 68, 73, 85, 92}"
明,"{1, 6, 7, 13, 17, 19, 22, 23, 31, 32, 34, 35, 36, 42, 46, 48, 50, 51, 52, 55, 60, 65, 66, 68, 70, 73, 74, 76, 81, 89}"
毎,"{1, 12, 20, 30, 41, 51, 56}"
悪,"{1, 8, 15, 24, 26, 29, 33, 40, 44, 47, 57, 59, 68, 87, 90}"
満,"{2, 21, 22, 36, 37, 43, 54, 55, 59, 63, 76}"
開,"{2, 29, 36, 38, 51, 54, 60, 62, 85}"
顔,"{2, 8, 9, 11, 14, 26, 28, 32, 37, 38, 41, 42, 43, 48, 50, 51, 54, 55, 56, 59, 60, 61, 63, 68, 76, 77, 79, 82, 83, 89, 91}"
咲,"{2, 17, 33, 34, 40, 41, 43, 51, 80, 82, 88}"
踊,"{2, 27, 34, 35, 36, 50, 54, 60, 67, 76, 80, 92}"
地,"{2, 8, 12, 17, 21, 24, 26, 28, 35, 39, 40, 42, 43, 58, 62, 64, 68, 76, 86}"
球,"{2, 21, 39, 58, 64}"
祭,"{2, 33, 76, 92}"
始,"{2, 4, 10, 11, 17, 37, 42, 45, 50, 54, 62}"
美,"{2, 13, 18, 25, 32, 36, 40, 42, 57, 65, 77, 79, 88, 90}"
優,"{2, 3, 12, 17, 33, 36, 88, 92}"
夏,"{2, 37, 76, 79, 81, 82, 86}"
井,"{2, 3, 23, 47, 65, 79, 82, 83}"
真,"{2, 3, 4, 13, 24, 26, 29, 31, 35, 36, 38, 50, 54, 56, 62, 70, 75, 91}"
白,"{2, 4, 5, 22, 33, 34, 41, 42, 48, 53, 62, 69, 73, 79, 80, 82, 86}"
五,"{2, 15, 62}"
線,"{2, 3, 11, 17, 18, 21, 78}"
譜,{2}
