start,end,position,line,text,unformatted
21.939,22.106,-1,0,<2></c><1>けっきょ</c><3>くだれがわるいのかなんて</c><2></c>,けっきょくだれがわるいのかなんて
22.106,22.239,-1,-1,<2></c><1>結局</c><3>誰が悪いのかなんて</c><2></c>,結局誰が悪いのかなんて
22.106,22.239,-1,0,<2></c><1>けっきょく</c><3>だれがわるいのかなんて</c><2></c>,けっきょくだれがわるいのかなんて
22.239,22.439,-1,-1,<2></c><1>結局誰</c><3>が悪いのかなんて</c><2></c>,結局誰が悪いのかなんて
22.239,22.439,-1,0,<2></c><1>けっきょくだ</c><3>れがわるいのかなんて</c><2></c>,けっきょくだれがわるいのかなんて
22.439,22.606,-1,-1,<2></c><1>結局誰</c><3>が悪いのかなんて</c><2></c>,結局誰が悪いのかなんて
22.439,22.606,-1,0,<2></c><1>けっきょくだれ</c><3>がわるいのかなんて</c><2></c>,けっきょくだれがわるいのかなんて
22.606,22.773,-1,-1,<2></c><1>結局誰が</c><3>悪いのかなんて</c><2></c>,結局誰が悪いのかなんて
22.606,22.773,-1,0,<2></c><1>けっきょくだれが</c><3>わるいのかなんて</c><2></c>,けっきょくだれがわるいのかなんて
22.773,22.94,-1,-1,<2></c><1>結局誰が悪</c><3>いのかなんて</c><2></c>,結局誰が悪いのかなんて
22.773,22.94,-1,0,<2></c><1>けっきょくだれがわ</c><3>るいのかなんて</c><2></c>,けっきょくだれがわるいのかなんて
22.94,23.14,-1,-1,<2></c><1>結局誰が悪</c><3>いのかなんて</c><2></c>,結局誰が悪いのかなんて
22.94,23.14,-1,0,<2></c><1>けっきょくだれがわる</c><3>いのかなんて</c><2></c>,けっきょくだれがわるいのかなんて
23.14,23.307,-1,-1,<2></c><1>結局誰が悪い</c><3>のかなんて</c><2></c>,結局誰が悪いのかなんて
23.14,23.307,-1,0,<2></c><1>けっきょくだれがわるい</c><3>のかなんて</c><2></c>,けっきょくだれがわるいのかなんて
23.307,23.44,-1,-1,<2></c><1>結局誰が悪いの</c><3>かなんて</c><2></c>,結局誰が悪いのかなんて
23.307,23.44,-1,0,<2></c><1>けっきょくだれがわるいの</c><3>かなんて</c><2></c>,けっきょくだれがわるいのかなんて
23.44,23.607,-1,-1,<2></c><1>結局誰が悪いのか</c><3>なんて</c><2></c>,結局誰が悪いのかなんて
23.44,23.607,-1,0,<2></c><1>けっきょくだれがわるいのか</c><3>なんて</c><2></c>,けっきょくだれがわるいのかなんて
23.607,23.807,-1,-1,<2></c><1>結局誰が悪いのかな</c><3>んて</c><2></c>,結局誰が悪いのかなんて
23.607,23.807,-1,0,<2></c><1>けっきょくだれがわるいのかな</c><3>んて</c><2></c>,けっきょくだれがわるいのかなんて
23.807,23.974,-1,-1,<2></c><1>結局誰が悪いのかなん</c><3>て</c><2></c>,結局誰が悪いのかなんて
23.807,23.974,-1,0,<2></c><1>けっきょくだれがわるいのかなん</c><3>て</c><2></c>,けっきょくだれがわるいのかなんて
23.974,24.508,-1,-1,<2></c><1>結局誰が悪いのかなんて</c><2></c>,結局誰が悪いのかなんて
23.974,24.508,-1,0,<2></c><1>けっきょくだれがわるいのかなんて</c><2></c>,けっきょくだれがわるいのかなんて
24.508,24.675,-1,-1,<2></c><1>知</c><3>らぬ存ぜぬ味方無し</c><2></c>,知らぬ存ぜぬ味方無し
24.508,24.675,-1,0,<2></c><1>し</c><3>らぬぞんぜぬみかたなし</c><2></c>,しらぬぞんぜぬみかたなし
24.675,24.842,-1,-1,<2></c><1>知ら</c><3>ぬ存ぜぬ味方無し</c><2></c>,知らぬ存ぜぬ味方無し
24.675,24.842,-1,0,<2></c><1>しら</c><3>ぬぞんぜぬみかたなし</c><2></c>,しらぬぞんぜぬみかたなし
24.842,25.009,-1,-1,<2></c><1>知らぬ</c><3>存ぜぬ味方無し</c><2></c>,知らぬ存ぜぬ味方無し
24.842,25.009,-1,0,<2></c><1>しらぬ</c><3>ぞんぜぬみかたなし</c><2></c>,しらぬぞんぜぬみかたなし
25.009,25.175,-1,-1,<2></c><1>知らぬ存</c><3>ぜぬ味方無し</c><2></c>,知らぬ存ぜぬ味方無し
25.009,25.175,-1,0,<2></c><1>しらぬぞ</c><3>んぜぬみかたなし</c><2></c>,しらぬぞんぜぬみかたなし
25.175,25.342,-1,-1,<2></c><1>知らぬ存</c><3>ぜぬ味方無し</c><2></c>,知らぬ存ぜぬ味方無し
25.175,25.342,-1,0,<2></c><1>しらぬぞん</c><3>ぜぬみかたなし</c><2></c>,しらぬぞんぜぬみかたなし
25.342,25.509,-1,-1,<2></c><1>知らぬ存ぜ</c><3>ぬ味方無し</c><2></c>,知らぬ存ぜぬ味方無し
25.342,25.509,-1,0,<2></c><1>しらぬぞんぜ</c><3>ぬみかたなし</c><2></c>,しらぬぞんぜぬみかたなし
25.509,25.676,-1,-1,<2></c><1>知らぬ存ぜぬ</c><3>味方無し</c><2></c>,知らぬ存ぜぬ味方無し
25.509,25.676,-1,0,<2></c><1>しらぬぞんぜぬ</c><3>みかたなし</c><2></c>,しらぬぞんぜぬみかたなし
25.676,25.843,-1,-1,<2></c><1>知らぬ存ぜぬ味</c><3>方無し</c><2></c>,知らぬ存ぜぬ味方無し
25.676,25.843,-1,0,<2></c><1>しらぬぞんぜぬみ</c><3>かたなし</c><2></c>,しらぬぞんぜぬみかたなし
25.843,25.976,-1,-1,<2></c><1>知らぬ存ぜぬ味方</c><3>無し</c><2></c>,知らぬ存ぜぬ味方無し
25.843,25.976,-1,0,<2></c><1>しらぬぞんぜぬみか</c><3>たなし</c><2></c>,しらぬぞんぜぬみかたなし
25.976,26.176,-1,-1,<2></c><1>知らぬ存ぜぬ味方</c><3>無し</c><2></c>,知らぬ存ぜぬ味方無し
25.976,26.176,-1,0,<2></c><1>しらぬぞんぜぬみかた</c><3>なし</c><2></c>,しらぬぞんぜぬみかたなし
26.176,26.343,-1,-1,<2></c><1>知らぬ存ぜぬ味方無</c><3>し</c><2></c>,知らぬ存ぜぬ味方無し
26.176,26.343,-1,0,<2></c><1>しらぬぞんぜぬみかたな</c><3>し</c><2></c>,しらぬぞんぜぬみかたなし
26.343,26.677,-1,-1,<2></c><1>知らぬ存ぜぬ味方無し</c><2></c>,知らぬ存ぜぬ味方無し
26.343,26.677,-1,0,<2></c><1>しらぬぞんぜぬみかたなし</c><2></c>,しらぬぞんぜぬみかたなし
27.211,27.378,-1,-1,<2></c><1>人</c><3>の背に立つ背に立つあなたの目</c><2></c>,人の背に立つ背に立つあなたの目
27.211,27.378,-1,0,<2></c><1>ひ</c><3>とのせにたつせにたつあなたのめ</c><2></c>,ひとのせにたつせにたつあなたのめ
27.378,27.544,-1,-1,<2></c><1>人</c><3>の背に立つ背に立つあなたの目</c><2></c>,人の背に立つ背に立つあなたの目
27.378,27.544,-1,0,<2></c><1>ひと</c><3>のせにたつせにたつあなたのめ</c><2></c>,ひとのせにたつせにたつあなたのめ
27.544,27.678,-1,-1,<2></c><1>人の</c><3>背に立つ背に立つあなたの目</c><2></c>,人の背に立つ背に立つあなたの目
27.544,27.678,-1,0,<2></c><1>ひとの</c><3>せにたつせにたつあなたのめ</c><2></c>,ひとのせにたつせにたつあなたのめ
27.678,27.878,-1,-1,<2></c><1>人の背</c><3>に立つ背に立つあなたの目</c><2></c>,人の背に立つ背に立つあなたの目
27.678,27.878,-1,0,<2></c><1>ひとのせ</c><3>にたつせにたつあなたのめ</c><2></c>,ひとのせにたつせにたつあなたのめ
