start,end,line,unformatted,token
115.999,116.1,85,（うわぁっ！ビックリしたぁ！）,ク
116.1,116.166,7,（うわぁっ！びっくりしたぁ！）,り
116.1,116.166,85,（うわぁっ！ビックリしたぁ！）,リ
116.166,116.266,7,（うわぁっ！びっくりしたぁ！）,し
116.166,116.266,85,（うわぁっ！ビックリしたぁ！）,し
116.266,116.7,7,（うわぁっ！びっくりしたぁ！）,たぁ！）
116.266,116.7,85,（うわぁっ！ビックリしたぁ！）,たぁ！）
116.7,116.867,0,スーパーチャットもうよいっよいっ,ス
116.7,116.867,-1,超課金伝書鳩もうよいっよいっ,超
116.867,117.0,0,スーパーチャットもうよいっよいっ,ー
116.867,117.0,-1,超課金伝書鳩もうよいっよいっ,課
117.0,117.167,0,スーパーチャットもうよいっよいっ,パ
117.0,117.167,-1,超課金伝書鳩もうよいっよいっ,金
117.167,117.334,0,スーパーチャットもうよいっよいっ,ー
117.167,117.334,-1,超課金伝書鳩もうよいっよいっ,伝
117.334,117.601,0,スーパーチャットもうよいっよいっ,チャ
117.334,117.601,-1,超課金伝書鳩もうよいっよいっ,書
117.601,117.768,0,スーパーチャットもうよいっよいっ,ッ
117.601,117.768,-1,超課金伝書鳩もうよいっよいっ,書
117.768,117.935,0,スーパーチャットもうよいっよいっ,ト
117.768,117.935,-1,超課金伝書鳩もうよいっよいっ,鳩
117.935,118.068,0,スーパーチャットもうよいっよいっ,も
117.935,118.068,-1,超課金伝書鳩もうよいっよいっ,も
118.068,118.235,0,スーパーチャットもうよいっよいっ,う
118.068,118.235,-1,超課金伝書鳩もうよいっよいっ,う
118.235,118.368,0,スーパーチャットもうよいっよいっ,よ
118.235,118.368,-1,超課金伝書鳩もうよいっよいっ,よ
118.368,118.535,0,スーパーチャットもうよいっよいっ,いっ
118.368,118.535,-1,超課金伝書鳩もうよいっよいっ,いっ
118.535,118.702,0,スーパーチャットもうよいっよいっ,よ
118.535,118.702,-1,超課金伝書鳩もうよいっよいっ,よ
118.702,119.303,0,スーパーチャットもうよいっよいっ,いっ
118.702,119.303,-1,超課金伝書鳩もうよいっよいっ,いっ
119.303,119.47,0,こばんをなげてあつかける,こ
119.303,119.47,-1,小判を投げて圧かける,小
119.47,119.603,0,こばんをなげてあつかける,ば
119.47,119.603,-1,小判を投げて圧かける,判
119.603,119.77,0,こばんをなげてあつかける,ん
119.603,119.77,-1,小判を投げて圧かける,判
119.77,119.903,0,こばんをなげてあつかける,を
119.77,119.903,-1,小判を投げて圧かける,を
119.903,120.07,0,こばんをなげてあつかける,な
119.903,120.07,-1,小判を投げて圧かける,投
120.07,120.204,0,こばんをなげてあつかける,げ
120.07,120.204,-1,小判を投げて圧かける,げ
120.204,120.37,0,こばんをなげてあつかける,て
120.204,120.37,-1,小判を投げて圧かける,て
120.37,120.537,0,こばんをなげてあつかける,あ
120.37,120.537,-1,小判を投げて圧かける,圧
120.537,120.671,0,こばんをなげてあつかける,つ
120.537,120.671,-1,小判を投げて圧かける,圧
120.671,120.838,0,こばんをなげてあつかける,か
120.671,120.838,-1,小判を投げて圧かける,か
120.838,120.971,0,こばんをなげてあつかける,け
120.838,120.971,-1,小判を投げて圧かける,け
120.971,121.572,0,こばんをなげてあつかける,る
120.971,121.572,-1,小判を投げて圧かける,る
121.572,121.738,0,めんこいあほてぇてぇな,め
121.572,121.738,-1,めんこい阿呆　てぇてぇな,め
121.738,121.872,0,めんこいあほてぇてぇな,ん
121.738,121.872,-1,めんこい阿呆　てぇてぇな,ん
121.872,122.039,0,めんこいあほてぇてぇな,こ
121.872,122.039,-1,めんこい阿呆　てぇてぇな,こ
122.039,122.172,0,めんこいあほてぇてぇな,い
122.039,122.172,-1,めんこい阿呆　てぇてぇな,い
122.172,122.639,0,めんこいあほてぇてぇな,あ
122.172,122.639,-1,めんこい阿呆　てぇてぇな,阿
122.639,122.806,0,めんこいあほてぇてぇな,ほ
122.639,122.806,-1,めんこい阿呆　てぇてぇな,呆　
122.806,123.107,0,めんこいあほてぇてぇな,てぇ
122.806,123.107,-1,めんこい阿呆　てぇてぇな,てぇ
123.107,123.407,0,めんこいあほてぇてぇな,てぇ
123.107,123.407,-1,めんこい阿呆　てぇてぇな,てぇ
123.407,124.174,0,めんこいあほてぇてぇな,な
123.407,124.174,-1,めんこい阿呆　てぇてぇな,な
124.174,124.308,0,あまきゆめみし,あ
124.174,124.308,-1,甘き夢見し,き
124.308,124.475,0,あまきゆめみし,ま
124.308,124.475,-1,甘き夢見し,き
124.475,124.608,0,あまきゆめみし,き
124.475,124.608,-1,甘き夢見し,き
124.608,124.775,0,あまきゆめみし,ゆ
124.608,124.775,-1,甘き夢見し,夢
124.775,124.942,0,あまきゆめみし,め
124.775,124.942,-1,甘き夢見し,夢
124.942,125.075,0,あまきゆめみし,み
124.942,125.075,-1,甘き夢見し,見
125.075,125.542,0,あまきゆめみし,し
125.075,125.542,-1,甘き夢見し,し
127.077,127.411,-1,ふわふわり　優しい風,ふ
127.077,127.411,0,ふわふわりやさしいかぜ,ふ
127.411,127.678,-1,ふわふわり　優しい風,わ
127.411,127.678,0,ふわふわりやさしいかぜ,わ
127.678,128.178,-1,ふわふわり　優しい風,ふ
127.678,128.178,0,ふわふわりやさしいかぜ,ふ
128.178,128.612,-1,ふわふわり　優しい風,わ
128.178,128.612,0,ふわふわりやさしいかぜ,わ
128.612,129.513,-1,ふわふわり　優しい風,り　
128.612,129.513,0,ふわふわりやさしいかぜ,り
129.513,129.813,-1,ふわふわり　優しい風,優
129.513,129.813,0,ふわふわりやさしいかぜ,や
129.813,130.114,-1,ふわふわり　優しい風,優
129.813,130.114,0,ふわふわりやさしいかぜ,さ
130.114,130.347,-1,ふわふわり　優しい風,し
130.114,130.347,0,ふわふわりやさしいかぜ,し
130.347,130.581,-1,ふわふわり　優しい風,い
130.347,130.581,0,ふわふわりやさしいかぜ,い
