start,end,line,unformatted,segments,ref_start,ref_end,token,dupe
8.125,8.425,92,aworldofourfictionawaits...,"[(1, 'a'), (2, 'w'), (2, 'o'), (2, 'r'), (2, 'l'), (2, 'd'), (2, 'o'), (2, 'f'), (2, 'o'), (2, 'u'), (2, 'r'), (2, 'f'), (2, 'i'), (2, 'c'), (2, 't'), (2, 'i'), (2, 'o'), (2, 'n'), (2, 'a'), (2, 'w'), (2, 'a'), (2, 'i'), (2, 't'), (2, 's'), (2, '.'), (2, '.'), (2, '.')]",False,True,a,False
57.408,58.942,92,ihope...,"[(1, 'i'), (1, 'h'), (1, 'o'), (1, 'p'), (1, 'e'), (1, '.'), (1, '.'), (1, '.')]",True,False,hope...,False
57.107,57.408,92,ihope...,"[(1, 'i'), (2, 'h'), (2, 'o'), (2, 'p'), (2, 'e'), (2, '.'), (2, '.'), (2, '.')]",False,True,i,False
57.408,58.942,0,ihope...,"[(1, 'i'), (1, 'h'), (1, 'o'), (1, 'p'), (1, 'e'), (1, '.'), (1, '.'), (1, '.')]",True,False,hope...,False
57.107,57.408,0,ihope...,"[(1, 'i'), (2, 'h'), (2, 'o'), (2, 'p'), (2, 'e'), (2, '.'), (2, '.'), (2, '.')]",False,True,i,False
60.944,61.412,0,いだいてるゆめを,"[(1, 'い'), (1, 'だ'), (1, 'い'), (1, 'て'), (1, 'る'), (1, 'ゆ'), (1, 'め'), (1, 'を')]",True,False,を,False
60.644,60.944,0,いだいてるゆめを,"[(1, 'い'), (1, 'だ'), (1, 'い'), (1, 'て'), (1, 'る'), (1, 'ゆ'), (1, 'め'), (2, 'を')]",False,False,め,False
60.377,60.644,0,いだいてるゆめを,"[(1, 'い'), (1, 'だ'), (1, 'い'), (1, 'て'), (1, 'る'), (1, 'ゆ'), (2, 'め'), (2, 'を')]",False,False,ゆ,False
60.177,60.377,0,いだいてるゆめを,"[(1, 'い'), (1, 'だ'), (1, 'い'), (1, 'て'), (1, 'る'), (2, 'ゆ'), (2, 'め'), (2, 'を')]",False,False,る,False
59.877,60.177,0,いだいてるゆめを,"[(1, 'い'), (1, 'だ'), (1, 'い'), (1, 'て'), (2, 'る'), (2, 'ゆ'), (2, 'め'), (2, 'を')]",False,False,て,False
59.576,59.877,0,いだいてるゆめを,"[(1, 'い'), (1, 'だ'), (1, 'い'), (2, 'て'), (2, 'る'), (2, 'ゆ'), (2, 'め'), (2, 'を')]",False,False,い,False
59.243,59.576,0,いだいてるゆめを,"[(1, 'い'), (1, 'だ'), (2, 'い'), (2, 'て'), (2, 'る'), (2, 'ゆ'), (2, 'め'), (2, 'を')]",False,False,だ,False
58.942,59.243,0,いだいてるゆめを,"[(1, 'い'), (2, 'だ'), (2, 'い'), (2, 'て'), (2, 'る'), (2, 'ゆ'), (2, 'め'), (2, 'を')]",False,True,い,False
83.033,85.202,0,いつのひにかきっと,"[(1, 'い'), (1, 'つ'), (1, 'の'), (1, 'ひ'), (1, 'に'), (1, 'か'), (1, 'き'), (1, 'っ'), (1, 'と')]",True,False,と,False
82.733,83.033,0,いつのひにかきっと,"[(1, 'い'), (1, 'つ'), (1, 'の'), (1, 'ひ'), (1, 'に'), (1, 'か'), (1, 'き'), (1, 'っ'), (2, 'と')]",False,False,っ,False
82.433,82.733,0,いつのひにかきっと,"[(1, 'い'), (1, 'つ'), (1, 'の'), (1, 'ひ'), (1, 'に'), (1, 'か'), (1, 'き'), (2, 'っ'), (2, 'と')]",False,False,き,False
82.132,82.433,0,いつのひにかきっと,"[(1, 'い'), (1, 'つ'), (1, 'の'), (1, 'ひ'), (1, 'に'), (1, 'か'), (2, 'き'), (2, 'っ'), (2, 'と')]",False,False,か,False
81.799,82.132,0,いつのひにかきっと,"[(1, 'い'), (1, 'つ'), (1, 'の'), (1, 'ひ'), (1, 'に'), (2, 'か'), (2, 'き'), (2, 'っ'), (2, 'と')]",False,False,に,False
81.498,81.799,0,いつのひにかきっと,"[(1, 'い'), (1, 'つ'), (1, 'の'), (1, 'ひ'), (2, 'に'), (2, 'か'), (2, 'き'), (2, 'っ'), (2, 'と')]",False,False,ひ,False
81.365,81.498,0,いつのひにかきっと,"[(1, 'い'), (1, 'つ'), (1, 'の'), (2, 'ひ'), (2, 'に'), (2, 'か'), (2, 'き'), (2, 'っ'), (2, 'と')]",False,False,の,False
81.198,81.365,0,いつのひにかきっと,"[(1, 'い'), (1, 'つ'), (2, 'の'), (2, 'ひ'), (2, 'に'), (2, 'か'), (2, 'き'), (2, 'っ'), (2, 'と')]",False,False,つ,False
81.031,81.198,0,いつのひにかきっと,"[(1, 'い'), (2, 'つ'), (2, 'の'), (2, 'ひ'), (2, 'に'), (2, 'か'), (2, 'き'), (2, 'っ'), (2, 'と')]",False,True,い,False
83.033,85.202,92,いつの日にかきっと,"[(1, 'い'), (1, 'つ'), (1, 'の'), (1, '日'), (1, 'に'), (1, 'か'), (1, 'き'), (1, 'っ'), (1, 'と')]",True,False,と,False
82.733,83.033,92,いつの日にかきっと,"[(1, 'い'), (1, 'つ'), (1, 'の'), (1, '日'), (1, 'に'), (1, 'か'), (1, 'き'), (1, 'っ'), (2, 'と')]",False,False,っ,False
82.433,82.733,92,いつの日にかきっと,"[(1, 'い'), (1, 'つ'), (1, 'の'), (1, '日'), (1, 'に'), (1, 'か'), (1, 'き'), (2, 'っ'), (2, 'と')]",False,False,き,False
82.132,82.433,92,いつの日にかきっと,"[(1, 'い'), (1, 'つ'), (1, 'の'), (1, '日'), (1, 'に'), (1, 'か'), (2, 'き'), (2, 'っ'), (2, 'と')]",False,False,か,False
81.799,82.132,92,いつの日にかきっと,"[(1, 'い'), (1, 'つ'), (1, 'の'), (1, '日'), (1, 'に'), (2, 'か'), (2, 'き'), (2, 'っ'), (2, 'と')]",False,False,に,False
81.498,81.799,92,いつの日にかきっと,"[(1, 'い'), (1, 'つ'), (1, 'の'), (1, '日'), (2, 'に'), (2, 'か'), (2, 'き'), (2, 'っ'), (2, 'と')]",False,False,日,False
81.365,81.498,92,いつの日にかきっと,"[(1, 'い'), (1, 'つ'), (1, 'の'), (2, '日'), (2, 'に'), (2, 'か'), (2, 'き'), (2, 'っ'), (2, 'と')]",False,False,の,False
81.198,81.365,92,いつの日にかきっと,"[(1, 'い'), (1, 'つ'), (2, 'の'), (2, '日'), (2, 'に'), (2, 'か'), (2, 'き'), (2, 'っ'), (2, 'と')]",False,False,つ,False
81.031,81.198,92,いつの日にかきっと,"[(1, 'い'), (2, 'つ'), (2, 'の'), (2, '日'), (2, 'に'), (2, 'か'), (2, 'き'), (2, 'っ'), (2, 'と')]",False,True,い,False
91.675,91.742,0,えがいたせかいへたどりつけるように,"[(1, 'え'), (1, 'が'), (1, 'い'), (1, 'た'), (1, 'せ'), (1, 'か'), (1, 'い'), (1, 'へ'), (1, 'た'), (1, 'ど'), (1, 'り'), (1, 'つ'), (1, 'け'), (1, 'る'), (1, 'よ'), (1, 'う'), (1, 'に')]",True,False,に,True
91.608,91.675,0,えがいたせかいへたどりつけるように,"[(1, 'え'), (1, 'が'), (1, 'い'), (1, 'た'), (1, 'せ'), (1, 'か'), (1, 'い'), (1, 'へ'), (1, 'た'), (1, 'ど'), (1, 'り'), (1, 'つ'), (1, 'け'), (1, 'る'), (1, 'よ'), (1, 'う'), (1, 'に')]",False,False,に,True
91.542,91.608,0,えがいたせかいへたどりつけるように,"[(1, 'え'), (1, 'が'), (1, 'い'), (1, 'た'), (1, 'せ'), (1, 'か'), (1, 'い'), (1, 'へ'), (1, 'た'), (1, 'ど'), (1, 'り'), (1, 'つ'), (1, 'け'), (1, 'る'), (1, 'よ'), (1, 'う'), (1, 'に')]",False,False,に,True
91.475,91.542,0,えがいたせかいへたどりつけるように,"[(1, 'え'), (1, 'が'), (1, 'い'), (1, 'た'), (1, 'せ'), (1, 'か'), (1, 'い'), (1, 'へ'), (1, 'た'), (1, 'ど'), (1, 'り'), (1, 'つ'), (1, 'け'), (1, 'る'), (1, 'よ'), (1, 'う'), (1, 'に')]",False,False,に,True
91.408,91.475,0,えがいたせかいへたどりつけるように,"[(1, 'え'), (1, 'が'), (1, 'い'), (1, 'た'), (1, 'せ'), (1, 'か'), (1, 'い'), (1, 'へ'), (1, 'た'), (1, 'ど'), (1, 'り'), (1, 'つ'), (1, 'け'), (1, 'る'), (1, 'よ'), (1, 'う'), (1, 'に')]",False,False,に,True
91.341,91.408,0,えがいたせかいへたどりつけるように,"[(1, 'え'), (1, 'が'), (1, 'い'), (1, 'た'), (1, 'せ'), (1, 'か'), (1, 'い'), (1, 'へ'), (1, 'た'), (1, 'ど'), (1, 'り'), (1, 'つ'), (1, 'け'), (1, 'る'), (1, 'よ'), (1, 'う'), (1, 'に')]",False,False,に,True
91.275,91.341,0,えがいたせかいへたどりつけるように,"[(1, 'え'), (1, 'が'), (1, 'い'), (1, 'た'), (1, 'せ'), (1, 'か'), (1, 'い'), (1, 'へ'), (1, 'た'), (1, 'ど'), (1, 'り'), (1, 'つ'), (1, 'け'), (1, 'る'), (1, 'よ'), (1, 'う'), (1, 'に')]",False,False,に,True
91.208,91.275,0,えがいたせかいへたどりつけるように,"[(1, 'え'), (1, 'が'), (1, 'い'), (1, 'た'), (1, 'せ'), (1, 'か'), (1, 'い'), (1, 'へ'), (1, 'た'), (1, 'ど'), (1, 'り'), (1, 'つ'), (1, 'け'), (1, 'る'), (1, 'よ'), (1, 'う'), (1, 'に')]",False,False,に,True
91.141,91.208,0,えがいたせかいへたどりつけるように,"[(1, 'え'), (1, 'が'), (1, 'い'), (1, 'た'), (1, 'せ'), (1, 'か'), (1, 'い'), (1, 'へ'), (1, 'た'), (1, 'ど'), (1, 'り'), (1, 'つ'), (1, 'け'), (1, 'る'), (1, 'よ'), (1, 'う'), (1, 'に')]",False,False,に,True
91.075,91.141,0,えがいたせかいへたどりつけるように,"[(1, 'え'), (1, 'が'), (1, 'い'), (1, 'た'), (1, 'せ'), (1, 'か'), (1, 'い'), (1, 'へ'), (1, 'た'), (1, 'ど'), (1, 'り'), (1, 'つ'), (1, 'け'), (1, 'る'), (1, 'よ'), (1, 'う'), (1, 'に')]",False,False,に,True
91.008,91.075,0,えがいたせかいへたどりつけるように,"[(1, 'え'), (1, 'が'), (1, 'い'), (1, 'た'), (1, 'せ'), (1, 'か'), (1, 'い'), (1, 'へ'), (1, 'た'), (1, 'ど'), (1, 'り'), (1, 'つ'), (1, 'け'), (1, 'る'), (1, 'よ'), (1, 'う'), (1, 'に')]",False,False,に,True
90.941,91.008,0,えがいたせかいへたどりつけるように,"[(1, 'え'), (1, 'が'), (1, 'い'), (1, 'た'), (1, 'せ'), (1, 'か'), (1, 'い'), (1, 'へ'), (1, 'た'), (1, 'ど'), (1, 'り'), (1, 'つ'), (1, 'け'), (1, 'る'), (1, 'よ'), (1, 'う'), (1, 'に')]",False,False,に,True
90.874,90.941,0,えがいたせかいへたどりつけるように,"[(1, 'え'), (1, 'が'), (1, 'い'), (1, 'た'), (1, 'せ'), (1, 'か'), (1, 'い'), (1, 'へ'), (1, 'た'), (1, 'ど'), (1, 'り'), (1, 'つ'), (1, 'け'), (1, 'る'), (1, 'よ'), (1, 'う'), (1, 'に')]",False,False,に,True
90.808,90.874,0,えがいたせかいへたどりつけるように,"[(1, 'え'), (1, 'が'), (1, 'い'), (1, 'た'), (1, 'せ'), (1, 'か'), (1, 'い'), (1, 'へ'), (1, 'た'), (1, 'ど'), (1, 'り'), (1, 'つ'), (1, 'け'), (1, 'る'), (1, 'よ'), (1, 'う'), (1, 'に')]",False,False,に,True
